Fecha,Producto,Precio,Inventario,Despacho_Total ,Dia
2024-01-06,Leche,4.0,5,3,Saturday
2024-01-06,Jamon,2.5,6,5,Saturday
2024-01-06,Cafe,2.0,5,7,Saturday
2024-01-06,Queso,3.0,4,2,Saturday
2024-01-07,Pan Ciabatta,0.25,768,770,Domingo
2024-01-07,Pan Francés,0.25,648,633,Domingo
2024-01-07,Pan Yema Largo,0.25,360,322,Domingo
2024-01-07,Pan Yema Redondo,0.25,360,391,Domingo
2024-01-07,Pan Chapla,0.25,144,146,Domingo
2024-01-07,Pan Coliza,0.25,192,193,Domingo
2024-01-07,Pan Integral,0.25,144,148,Domingo
2024-01-07,Pan Caracol,0.25,144,144,Domingo
2024-01-07,Pan Hamburguesa,0.4,288,292,Domingo
2024-01-07,Cachito,0.25,144,143,Domingo
2024-01-07,Pan Manjar,0.3,24,25,Domingo
2024-01-07,Leche,4.0,5,5,Domingo
2024-01-07,Jamon,2.5,6,4,Domingo
2024-01-07,Cafe,2.0,5,7,Domingo
2024-01-07,Queso,3.0,4,5,Domingo
2024-01-08,Pan Ciabatta,0.25,768,774,Lunes
2024-01-08,Pan Francés,0.25,648,611,Lunes
2024-01-08,Pan Yema Largo,0.25,360,373,Lunes
2024-01-08,Pan Yema Redondo,0.25,360,305,Lunes
2024-01-08,Pan Chapla,0.25,144,148,Lunes
2024-01-08,Pan Coliza,0.25,192,198,Lunes
2024-01-08,Pan Integral,0.25,144,143,Lunes
2024-01-08,Pan Caracol,0.25,144,142,Lunes
2024-01-08,Pan Hamburguesa,0.4,288,288,Lunes
2024-01-08,Cachito,0.25,144,148,Lunes
2024-01-08,Pan Manjar,0.3,24,23,Lunes
2024-01-08,Leche,4.0,5,4,Lunes
2024-01-08,Jamon,2.5,6,4,Lunes
2024-01-08,Cafe,2.0,5,7,Lunes
2024-01-08,Queso,3.0,4,2,Lunes
2024-01-09,Pan Ciabatta,0.25,768,776,Martes
2024-01-09,Pan Francés,0.25,648,621,Martes
2024-01-09,Pan Yema Largo,0.25,360,321,Martes
2024-01-09,Pan Yema Redondo,0.25,360,335,Martes
2024-01-09,Pan Chapla,0.25,144,142,Martes
2024-01-09,Pan Coliza,0.25,192,194,Martes
2024-01-09,Pan Integral,0.25,144,144,Martes
2024-01-09,Pan Caracol,0.25,144,143,Martes
2024-01-09,Pan Hamburguesa,0.4,288,282,Martes
2024-01-09,Cachito,0.25,144,145,Martes
2024-01-09,Pan Manjar,0.3,24,22,Martes
2024-01-09,Leche,4.0,5,5,Martes
2024-01-09,Jamon,2.5,6,4,Martes
2024-01-09,Cafe,2.0,5,4,Martes
2024-01-09,Queso,3.0,4,5,Martes
2024-01-10,Pan Ciabatta,0.25,768,738,Miércoles
2024-01-10,Pan Francés,0.25,648,629,Miércoles
2024-01-10,Pan Yema Largo,0.25,360,387,Miércoles
2024-01-10,Pan Yema Redondo,0.25,360,367,Miércoles
2024-01-10,Pan Chapla,0.25,144,145,Miércoles
2024-01-10,Pan Coliza,0.25,192,197,Miércoles
2024-01-10,Pan Integral,0.25,144,141,Miércoles
2024-01-10,Pan Caracol,0.25,144,146,Miércoles
2024-01-10,Pan Hamburguesa,0.4,288,299,Miércoles
2024-01-10,Cachito,0.25,144,150,Miércoles
2024-01-10,Pan Manjar,0.3,24,23,Miércoles
2024-01-10,Leche,4.0,5,2,Miércoles
2024-01-10,Jamon,2.5,6,5,Miércoles
2024-01-10,Cafe,2.0,5,7,Miércoles
2024-01-10,Queso,3.0,4,4,Miércoles
2024-01-11,Pan Ciabatta,0.25,768,760,Jueves
2024-01-11,Pan Francés,0.25,648,648,Jueves
2024-01-11,Pan Yema Largo,0.25,360,352,Jueves
2024-01-11,Pan Yema Redondo,0.25,360,306,Jueves
2024-01-11,Pan Chapla,0.25,144,146,Jueves
2024-01-11,Pan Coliza,0.25,192,198,Jueves
2024-01-11,Pan Integral,0.25,144,148,Jueves
2024-01-11,Pan Caracol,0.25,144,149,Jueves
2024-01-11,Pan Hamburguesa,0.4,288,297,Jueves
2024-01-11,Cachito,0.25,144,148,Jueves
2024-01-11,Pan Manjar,0.3,24,22,Jueves
2024-01-11,Leche,4.0,5,5,Jueves
2024-01-11,Jamon,2.5,6,6,Jueves
2024-01-11,Cafe,2.0,5,5,Jueves
2024-01-11,Queso,3.0,4,2,Jueves
2024-01-12,Pan Ciabatta,0.25,768,735,Viernes
2024-01-12,Pan Francés,0.25,648,687,Viernes
2024-01-12,Pan Yema Largo,0.25,360,309,Viernes
2024-01-12,Pan Yema Redondo,0.25,360,396,Viernes
2024-01-12,Pan Chapla,0.25,144,145,Viernes
2024-01-12,Pan Coliza,0.25,192,193,Viernes
2024-01-12,Pan Integral,0.25,144,149,Viernes
2024-01-12,Pan Caracol,0.25,144,147,Viernes
2024-01-12,Pan Hamburguesa,0.4,288,282,Viernes
2024-01-12,Cachito,0.25,144,145,Viernes
2024-01-12,Pan Manjar,0.3,24,26,Viernes
2024-01-12,Leche,4.0,5,2,Viernes
2024-01-12,Jamon,2.5,6,4,Viernes
2024-01-12,Cafe,2.0,5,5,Viernes
2024-01-12,Queso,3.0,4,3,Viernes
2024-01-13,Pan Ciabatta,0.25,768,756,Saturday
2024-01-13,Pan Francés,0.25,648,604,Saturday
2024-01-13,Pan Yema Largo,0.25,360,390,Saturday
2024-01-13,Pan Yema Redondo,0.25,360,355,Saturday
2024-01-13,Pan Chapla,0.25,144,143,Sábado
2024-01-13,Pan Coliza,0.25,192,196,Saturday
2024-01-13,Pan Integral,0.25,144,144,Saturday
2024-01-13,Pan Caracol,0.25,144,145,Saturday
2024-01-13,Pan Hamburguesa,0.4,288,299,Saturday
2024-01-13,Cachito,0.25,144,147,Saturday
2024-01-13,Pan Manjar,0.3,24,27,Saturday
2024-01-13,Leche,4.0,5,5,Saturday
2024-01-13,Jamon,2.5,6,6,Saturday
2024-01-13,Cafe,2.0,5,4,Saturday
2024-01-13,Queso,3.0,4,2,Saturday
2024-01-14,Pan Ciabatta,0.25,768,759,Domingo
2024-01-14,Pan Francés,0.25,648,602,Domingo
2024-01-14,Pan Yema Largo,0.25,360,356,Domingo
2024-01-14,Pan Yema Redondo,0.25,360,395,Domingo
2024-01-14,Pan Chapla,0.25,144,146,Domingo
2024-01-14,Pan Coliza,0.25,192,196,Domingo
2024-01-14,Pan Integral,0.25,144,147,Domingo
2024-01-14,Pan Caracol,0.25,144,144,Domingo
2024-01-14,Pan Hamburguesa,0.4,288,296,Domingo
2024-01-14,Cachito,0.25,144,150,Domingo
2024-01-14,Pan Manjar,0.3,24,24,Domingo
2024-01-14,Leche,4.0,5,3,Domingo
2024-01-14,Jamon,2.5,6,6,Domingo
2024-01-14,Cafe,2.0,5,5,Domingo
2024-01-14,Queso,3.0,4,5,Domingo
2024-01-15,Pan Ciabatta,0.25,768,766,Lunes
2024-01-15,Pan Francés,0.25,648,674,Lunes
2024-01-15,Pan Yema Largo,0.25,360,315,Lunes
2024-01-15,Pan Yema Redondo,0.25,360,386,Lunes
2024-01-15,Pan Chapla,0.25,144,146,Lunes
2024-01-15,Pan Coliza,0.25,192,196,Lunes
2024-01-15,Pan Integral,0.25,144,142,Lunes
2024-01-15,Pan Caracol,0.25,144,141,Lunes
2024-01-15,Pan Hamburguesa,0.4,288,286,Lunes
2024-01-15,Cachito,0.25,144,142,Lunes
2024-01-15,Pan Manjar,0.3,24,26,Lunes
2024-01-15,Leche,4.0,5,3,Lunes
2024-01-15,Jamon,2.5,6,5,Lunes
2024-01-15,Cafe,2.0,5,6,Lunes
2024-01-15,Queso,3.0,4,5,Lunes
2024-01-16,Pan Ciabatta,0.25,768,777,Martes
2024-01-16,Pan Francés,0.25,648,648,Martes
2024-01-16,Pan Yema Largo,0.25,360,330,Martes
2024-01-16,Pan Yema Redondo,0.25,360,378,Martes
2024-01-16,Pan Chapla,0.25,144,141,Martes
2024-01-16,Pan Coliza,0.25,192,195,Martes
2024-01-16,Pan Integral,0.25,144,146,Martes
2024-01-16,Pan Caracol,0.25,144,143,Martes
2024-01-16,Pan Hamburguesa,0.4,288,288,Martes
2024-01-16,Cachito,0.25,144,147,Martes
2024-01-16,Pan Manjar,0.3,24,23,Martes
2024-01-16,Leche,4.0,5,6,Martes
2024-01-16,Jamon,2.5,6,4,Martes
2024-01-16,Cafe,2.0,5,4,Martes
2024-01-16,Queso,3.0,4,3,Martes
2024-01-17,Pan Ciabatta,0.25,768,797,Miércoles
2024-01-17,Pan Francés,0.25,648,673,Miércoles
2024-01-17,Pan Yema Largo,0.25,360,318,Miércoles
2024-01-17,Pan Yema Redondo,0.25,360,303,Miércoles
2024-01-17,Pan Chapla,0.25,144,150,Miércoles
2024-01-17,Pan Coliza,0.25,192,193,Miércoles
2024-01-17,Pan Integral,0.25,144,146,Miércoles
2024-01-17,Pan Caracol,0.25,144,145,Miércoles
2024-01-17,Pan Hamburguesa,0.4,288,298,Miércoles
2024-01-17,Cachito,0.25,144,144,Miércoles
2024-01-17,Pan Manjar,0.3,24,24,Miércoles
2024-01-17,Leche,4.0,5,2,Miércoles
2024-01-17,Jamon,2.5,6,4,Miércoles
2024-01-17,Cafe,2.0,5,4,Miércoles
2024-01-17,Queso,3.0,4,4,Miércoles
2024-01-18,Pan Ciabatta,0.25,768,787,Jueves
2024-01-18,Pan Francés,0.25,648,653,Jueves
2024-01-18,Pan Yema Largo,0.25,360,327,Jueves
2024-01-18,Pan Yema Redondo,0.25,360,312,Jueves
2024-01-18,Pan Chapla,0.25,144,144,Jueves
2024-01-18,Pan Coliza,0.25,192,197,Jueves
2024-01-18,Pan Integral,0.25,144,145,Jueves
2024-01-18,Pan Caracol,0.25,144,140,Jueves
2024-01-18,Pan Hamburguesa,0.4,288,285,Jueves
2024-01-18,Cachito,0.25,144,144,Jueves
2024-01-18,Pan Manjar,0.3,24,24,Jueves
2024-01-18,Leche,4.0,5,2,Jueves
2024-01-18,Jamon,2.5,6,4,Jueves
2024-01-18,Cafe,2.0,5,7,Jueves
2024-01-18,Queso,3.0,4,4,Jueves
2024-01-19,Pan Ciabatta,0.25,768,749,Viernes
2024-01-19,Pan Francés,0.25,648,606,Viernes
2024-01-19,Pan Yema Largo,0.25,360,381,Viernes
2024-01-19,Pan Yema Redondo,0.25,360,318,Viernes
2024-01-19,Pan Chapla,0.25,144,143,Viernes
2024-01-19,Pan Coliza,0.25,192,198,Viernes
2024-01-19,Pan Integral,0.25,144,147,Viernes
2024-01-19,Pan Caracol,0.25,144,148,Viernes
2024-01-19,Pan Hamburguesa,0.4,288,293,Viernes
2024-01-19,Cachito,0.25,144,146,Viernes
2024-01-19,Pan Manjar,0.3,24,26,Viernes
2024-01-19,Leche,4.0,5,6,Viernes
2024-01-19,Jamon,2.5,6,5,Viernes
2024-01-19,Cafe,2.0,5,4,Viernes
2024-01-19,Queso,3.0,4,4,Viernes
2024-01-20,Pan Ciabatta,0.25,768,718,Saturday
2024-01-20,Pan Francés,0.25,648,661,Saturday
2024-01-20,Pan Yema Largo,0.25,360,346,Saturday
2024-01-20,Pan Yema Redondo,0.25,360,335,Saturday
2024-01-20,Pan Chapla,0.25,144,148,Sábado
2024-01-20,Pan Coliza,0.25,192,199,Saturday
2024-01-20,Pan Integral,0.25,144,142,Saturday
2024-01-20,Pan Caracol,0.25,144,146,Saturday
2024-01-20,Pan Hamburguesa,0.4,288,295,Saturday
2024-01-20,Cachito,0.25,144,142,Saturday
2024-01-20,Pan Manjar,0.3,24,28,Saturday
2024-01-20,Leche,4.0,5,3,Saturday
2024-01-20,Jamon,2.5,6,5,Saturday
2024-01-20,Cafe,2.0,5,6,Saturday
2024-01-20,Queso,3.0,4,5,Saturday
2024-01-21,Pan Ciabatta,0.25,768,778,Domingo
2024-01-21,Pan Francés,0.25,648,677,Domingo
2024-01-21,Pan Yema Largo,0.25,360,365,Domingo
2024-01-21,Pan Yema Redondo,0.25,360,400,Domingo
2024-01-21,Pan Chapla,0.25,144,150,Domingo
2024-01-21,Pan Coliza,0.25,192,196,Domingo
2024-01-21,Pan Integral,0.25,144,145,Domingo
2024-01-21,Pan Caracol,0.25,144,147,Domingo
2024-01-21,Pan Hamburguesa,0.4,288,300,Domingo
2024-01-21,Cachito,0.25,144,148,Domingo
2024-01-21,Pan Manjar,0.3,24,25,Domingo
2024-01-21,Leche,4.0,5,6,Domingo
2024-01-21,Jamon,2.5,6,6,Domingo
2024-01-21,Cafe,2.0,5,7,Domingo
2024-01-21,Queso,3.0,4,3,Domingo
2024-01-22,Pan Ciabatta,0.25,768,768,Lunes
2024-01-22,Pan Francés,0.25,648,659,Lunes
2024-01-22,Pan Yema Largo,0.25,360,330,Lunes
2024-01-22,Pan Yema Redondo,0.25,360,307,Lunes
2024-01-22,Pan Chapla,0.25,144,149,Lunes
2024-01-22,Pan Coliza,0.25,192,193,Lunes
2024-01-22,Pan Integral,0.25,144,147,Lunes
2024-01-22,Pan Caracol,0.25,144,146,Lunes
2024-01-22,Pan Hamburguesa,0.4,288,292,Lunes
2024-01-22,Cachito,0.25,144,147,Lunes
2024-01-22,Pan Manjar,0.3,24,22,Lunes
2024-01-22,Leche,4.0,5,4,Lunes
2024-01-22,Jamon,2.5,6,4,Lunes
2024-01-22,Cafe,2.0,5,4,Lunes
2024-01-22,Queso,3.0,4,4,Lunes
2024-01-23,Pan Ciabatta,0.25,768,785,Martes
2024-01-23,Pan Francés,0.25,648,624,Martes
2024-01-23,Pan Yema Largo,0.25,360,371,Martes
2024-01-23,Pan Yema Redondo,0.25,360,374,Martes
2024-01-23,Pan Chapla,0.25,144,143,Martes
2024-01-23,Pan Coliza,0.25,192,197,Martes
2024-01-23,Pan Integral,0.25,144,145,Martes
2024-01-23,Pan Caracol,0.25,144,148,Martes
2024-01-23,Pan Hamburguesa,0.4,288,280,Martes
2024-01-23,Cachito,0.25,144,145,Martes
2024-01-23,Pan Manjar,0.3,24,27,Martes
2024-01-23,Leche,4.0,5,5,Martes
2024-01-23,Jamon,2.5,6,4,Martes
2024-01-23,Cafe,2.0,5,5,Martes
2024-01-23,Queso,3.0,4,3,Martes
2024-01-24,Pan Ciabatta,0.25,768,700,Miércoles
2024-01-24,Pan Francés,0.25,648,686,Miércoles
2024-01-24,Pan Yema Largo,0.25,360,338,Miércoles
2024-01-24,Pan Yema Redondo,0.25,360,387,Miércoles
2024-01-24,Pan Chapla,0.25,144,149,Miércoles
2024-01-24,Pan Coliza,0.25,192,192,Miércoles
2024-01-24,Pan Integral,0.25,144,142,Miércoles
2024-01-24,Pan Caracol,0.25,144,149,Miércoles
2024-01-24,Pan Hamburguesa,0.4,288,292,Miércoles
2024-01-24,Cachito,0.25,144,140,Miércoles
2024-01-24,Pan Manjar,0.3,24,22,Miércoles
2024-01-24,Leche,4.0,5,4,Miércoles
2024-01-24,Jamon,2.5,6,5,Miércoles
2024-01-24,Cafe,2.0,5,5,Miércoles
2024-01-24,Queso,3.0,4,2,Miércoles
2024-01-25,Pan Ciabatta,0.25,768,736,Jueves
2024-01-25,Pan Francés,0.25,648,686,Jueves
2024-01-25,Pan Yema Largo,0.25,360,374,Jueves
2024-01-25,Pan Yema Redondo,0.25,360,307,Jueves
2024-01-25,Pan Chapla,0.25,144,145,Jueves
2024-01-25,Pan Coliza,0.25,192,193,Jueves
2024-01-25,Pan Integral,0.25,144,143,Jueves
2024-01-25,Pan Caracol,0.25,144,143,Jueves
2024-01-25,Pan Hamburguesa,0.4,288,299,Jueves
2024-01-25,Cachito,0.25,144,149,Jueves
2024-01-25,Pan Manjar,0.3,24,28,Jueves
2024-01-25,Leche,4.0,5,5,Jueves
2024-01-25,Jamon,2.5,6,4,Jueves
2024-01-25,Cafe,2.0,5,5,Jueves
2024-01-25,Queso,3.0,4,5,Jueves
2024-01-26,Pan Ciabatta,0.25,768,784,Viernes
2024-01-26,Pan Francés,0.25,648,643,Viernes
2024-01-26,Pan Yema Largo,0.25,360,382,Viernes
2024-01-26,Pan Yema Redondo,0.25,360,377,Viernes
2024-01-26,Pan Chapla,0.25,144,144,Viernes
2024-01-26,Pan Coliza,0.25,192,191,Viernes
2024-01-26,Pan Integral,0.25,144,141,Viernes
2024-01-26,Pan Caracol,0.25,144,141,Viernes
2024-01-26,Pan Hamburguesa,0.4,288,292,Viernes
2024-01-26,Cachito,0.25,144,143,Viernes
2024-01-26,Pan Manjar,0.3,24,24,Viernes
2024-01-26,Leche,4.0,5,6,Viernes
2024-01-26,Jamon,2.5,6,5,Viernes
2024-01-26,Cafe,2.0,5,7,Viernes
2024-01-26,Queso,3.0,4,3,Viernes
2024-01-27,Pan Ciabatta,0.25,768,712,Saturday
2024-01-27,Pan Francés,0.25,648,648,Saturday
2024-01-27,Pan Yema Largo,0.25,360,383,Saturday
2024-01-27,Pan Yema Redondo,0.25,360,398,Saturday
2024-01-27,Pan Chapla,0.25,144,140,Sábado
2024-01-27,Pan Coliza,0.25,192,196,Saturday
2024-01-27,Pan Integral,0.25,144,149,Saturday
2024-01-27,Pan Caracol,0.25,144,145,Saturday
2024-01-27,Pan Hamburguesa,0.4,288,283,Saturday
2024-01-27,Cachito,0.25,144,145,Saturday
2024-01-27,Pan Manjar,0.3,24,27,Saturday
2024-01-27,Leche,4.0,5,5,Saturday
2024-01-27,Jamon,2.5,6,4,Saturday
2024-01-27,Cafe,2.0,5,7,Saturday
2024-01-27,Queso,3.0,4,4,Saturday
2024-01-28,Pan Ciabatta,0.25,768,781,Domingo
2024-01-28,Pan Francés,0.25,648,627,Domingo
2024-01-28,Pan Yema Largo,0.25,360,338,Domingo
2024-01-28,Pan Yema Redondo,0.25,360,394,Domingo
2024-01-28,Pan Chapla,0.25,144,147,Domingo
2024-01-28,Pan Coliza,0.25,192,191,Domingo
2024-01-28,Pan Integral,0.25,144,142,Domingo
2024-01-28,Pan Caracol,0.25,144,147,Domingo
2024-01-28,Pan Hamburguesa,0.4,288,282,Domingo
2024-01-28,Cachito,0.25,144,141,Domingo
2024-01-28,Pan Manjar,0.3,24,25,Domingo
2024-01-28,Leche,4.0,5,5,Domingo
2024-01-28,Jamon,2.5,6,6,Domingo
2024-01-28,Cafe,2.0,5,6,Domingo
2024-01-28,Queso,3.0,4,3,Domingo
2024-01-29,Pan Ciabatta,0.25,768,737,Lunes
2024-01-29,Pan Francés,0.25,648,604,Lunes
2024-01-29,Pan Yema Largo,0.25,360,375,Lunes
2024-01-29,Pan Yema Redondo,0.25,360,342,Lunes
2024-01-29,Pan Chapla,0.25,144,143,Lunes
2024-01-29,Pan Coliza,0.25,192,190,Lunes
2024-01-29,Pan Integral,0.25,144,145,Lunes
2024-01-29,Pan Caracol,0.25,144,143,Lunes
2024-01-29,Pan Hamburguesa,0.4,288,281,Lunes
2024-01-29,Cachito,0.25,144,141,Lunes
2024-01-29,Pan Manjar,0.3,24,25,Lunes
2024-01-29,Leche,4.0,5,2,Lunes
2024-01-29,Jamon,2.5,6,4,Lunes
2024-01-29,Cafe,2.0,5,4,Lunes
2024-01-29,Queso,3.0,4,3,Lunes
2024-01-30,Pan Ciabatta,0.25,768,707,Martes
2024-01-30,Pan Francés,0.25,648,686,Martes
2024-01-30,Pan Yema Largo,0.25,360,370,Martes
2024-01-30,Pan Yema Redondo,0.25,360,300,Martes
2024-01-30,Pan Chapla,0.25,144,140,Martes
2024-01-30,Pan Coliza,0.25,192,193,Martes
2024-01-30,Pan Integral,0.25,144,141,Martes
2024-01-30,Pan Caracol,0.25,144,150,Martes
2024-01-30,Pan Hamburguesa,0.4,288,296,Martes
2024-01-30,Cachito,0.25,144,143,Martes
2024-01-30,Pan Manjar,0.3,24,27,Martes
2024-01-30,Leche,4.0,5,5,Martes
2024-01-30,Jamon,2.5,6,4,Martes
2024-01-30,Cafe,2.0,5,5,Martes
2024-01-30,Queso,3.0,4,4,Martes
2024-01-31,Pan Ciabatta,0.25,768,735,Miércoles
2024-01-31,Pan Francés,0.25,648,634,Miércoles
2024-01-31,Pan Yema Largo,0.25,360,391,Miércoles
2024-01-31,Pan Yema Redondo,0.25,360,329,Miércoles
2024-01-31,Pan Chapla,0.25,144,147,Miércoles
2024-01-31,Pan Coliza,0.25,192,192,Miércoles
2024-01-31,Pan Integral,0.25,144,148,Miércoles
2024-01-31,Pan Caracol,0.25,144,149,Miércoles
2024-01-31,Pan Hamburguesa,0.4,288,285,Miércoles
2024-01-31,Cachito,0.25,144,148,Miércoles
2024-01-31,Pan Manjar,0.3,24,24,Miércoles
2024-01-31,Leche,4.0,5,2,Miércoles
2024-01-31,Jamon,2.5,6,6,Miércoles
2024-01-31,Cafe,2.0,5,4,Miércoles
2024-01-31,Queso,3.0,4,4,Miércoles
2024-02-01,Pan Ciabatta,0.25,768,793,Jueves
2024-02-01,Pan Francés,0.25,648,640,Jueves
2024-02-01,Pan Yema Largo,0.25,360,306,Jueves
2024-02-01,Pan Yema Redondo,0.25,360,336,Jueves
2024-02-01,Pan Chapla,0.25,144,147,Jueves
2024-02-01,Pan Coliza,0.25,192,194,Jueves
2024-02-01,Pan Integral,0.25,144,147,Jueves
2024-02-01,Pan Caracol,0.25,144,148,Jueves
2024-02-01,Pan Hamburguesa,0.4,288,294,Jueves
2024-02-01,Cachito,0.25,144,149,Jueves
2024-02-01,Pan Manjar,0.3,24,23,Jueves
2024-02-01,Leche,4.0,5,2,Jueves
2024-02-01,Jamon,2.5,6,6,Jueves
2024-02-01,Cafe,2.0,5,4,Jueves
2024-02-01,Queso,3.0,4,3,Jueves
2024-02-02,Pan Ciabatta,0.25,768,731,Viernes
2024-02-02,Pan Francés,0.25,648,602,Viernes
2024-02-02,Pan Yema Largo,0.25,360,309,Viernes
2024-02-02,Pan Yema Redondo,0.25,360,365,Viernes
2024-02-02,Pan Chapla,0.25,144,146,Viernes
2024-02-02,Pan Coliza,0.25,192,197,Viernes
2024-02-02,Pan Integral,0.25,144,150,Viernes
2024-02-02,Pan Caracol,0.25,144,150,Viernes
2024-02-02,Pan Hamburguesa,0.4,288,287,Viernes
2024-02-02,Cachito,0.25,144,144,Viernes
2024-02-02,Pan Manjar,0.3,24,25,Viernes
2024-02-02,Leche,4.0,5,6,Viernes
2024-02-02,Jamon,2.5,6,6,Viernes
2024-02-02,Cafe,2.0,5,6,Viernes
2024-02-02,Queso,3.0,4,3,Viernes
2024-02-03,Pan Ciabatta,0.25,768,765,Saturday
2024-02-03,Pan Francés,0.25,648,636,Saturday
2024-02-03,Pan Yema Largo,0.25,360,384,Saturday
2024-02-03,Pan Yema Redondo,0.25,360,318,Saturday
2024-02-03,Pan Chapla,0.25,144,140,Sábado
2024-02-03,Pan Coliza,0.25,192,194,Saturday
2024-02-03,Pan Integral,0.25,144,146,Saturday
2024-02-03,Pan Caracol,0.25,144,141,Saturday
2024-02-03,Pan Hamburguesa,0.4,288,291,Saturday
2024-02-03,Cachito,0.25,144,147,Saturday
2024-02-03,Pan Manjar,0.3,24,27,Saturday
2024-02-03,Leche,4.0,5,5,Saturday
2024-02-03,Jamon,2.5,6,6,Saturday
