fecha,producto,tipo,precio,stock,ventas
2023-01-02,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-02,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-02,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-02,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-02,Cookie,Bocaditos,2.0,100,70
2023-01-02,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-02,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-02,Beso de Moza,Bocaditos,1.0,80,50
2023-01-02,Caramandugas,Bocaditos,0.25,300,250
2023-01-02,Rosquitas,Bocaditos,0.25,300,250
2023-01-03,Pan Chabatta,Panes,0.25,768,720
2023-01-03,Pan Francés,Panes,0.25,648,610
2023-01-03,Pan Yema Largo,Panes,0.25,360,320
2023-01-03,Pan Yema Redondo,Panes,0.25,360,320
2023-01-03,Pan Chapla,Panes,0.25,144,110
2023-01-03,Pan Coliza,Panes,0.25,192,170
2023-01-03,Pan Integral,Panes,0.25,144,110
2023-01-03,Pan Caracol,Panes,0.25,144,110
2023-01-03,Pan Hamburguesa,Panes,0.4,288,240
2023-01-03,Cachito,Panes,0.25,144,110
2023-01-03,Pan Manjar,Panes,0.3,72,68
2023-01-03,Leche,Abarrotes,4.0,5,2
2023-01-03,Jamon,Abarrotes,2.5,6,5
2023-01-03,Café,Abarrotes,2.0,5,2
2023-01-03,Queso,Abarrotes,3.0,4,2
2023-01-03,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-03,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-03,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-03,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-03,Cookie,Bocaditos,2.0,100,70
2023-01-03,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-03,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-03,Beso de Moza,Bocaditos,1.0,80,50
2023-01-03,Caramandugas,Bocaditos,0.25,300,250
2023-01-03,Rosquitas,Bocaditos,0.25,300,250
2023-01-04,Pan Chabatta,Panes,0.25,768,720
2023-01-04,Pan Francés,Panes,0.25,648,610
2023-01-04,Pan Yema Largo,Panes,0.25,360,320
2023-01-04,Pan Yema Redondo,Panes,0.25,360,320
2023-01-04,Pan Chapla,Panes,0.25,144,110
2023-01-04,Pan Coliza,Panes,0.25,192,170
2023-01-04,Pan Integral,Panes,0.25,144,110
2023-01-04,Pan Caracol,Panes,0.25,144,110
2023-01-04,Pan Hamburguesa,Panes,0.4,288,240
2023-01-04,Cachito,Panes,0.25,144,110
2023-01-04,Pan Manjar,Panes,0.3,72,68
2023-01-04,Leche,Abarrotes,4.0,5,3
2023-01-04,Jamon,Abarrotes,2.5,6,3
2023-01-04,Café,Abarrotes,2.0,5,2
2023-01-04,Queso,Abarrotes,3.0,4,2
2023-01-04,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-04,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-04,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-04,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-04,Cookie,Bocaditos,2.0,100,70
2023-01-04,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-04,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-04,Beso de Moza,Bocaditos,1.0,80,50
2023-01-04,Caramandugas,Bocaditos,0.25,300,250
2023-01-04,Rosquitas,Bocaditos,0.25,300,250
2023-01-05,Pan Chabatta,Panes,0.25,768,720
2023-01-05,Pan Francés,Panes,0.25,648,610
2023-01-05,Pan Yema Largo,Panes,0.25,360,320
2023-01-05,Pan Yema Redondo,Panes,0.25,360,320
2023-01-05,Pan Chapla,Panes,0.25,144,110
2023-01-05,Pan Coliza,Panes,0.25,192,170
2023-01-05,Pan Integral,Panes,0.25,144,110
2023-01-05,Pan Caracol,Panes,0.25,144,110
2023-01-05,Pan Hamburguesa,Panes,0.4,288,240
2023-01-05,Cachito,Panes,0.25,144,110
2023-01-05,Pan Manjar,Panes,0.3,72,68
2023-01-05,Leche,Abarrotes,4.0,5,2
2023-01-05,Jamon,Abarrotes,2.5,6,5
2023-01-05,Café,Abarrotes,2.0,5,3
2023-01-05,Queso,Abarrotes,3.0,4,2
2023-01-05,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-05,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-05,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-05,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-05,Cookie,Bocaditos,2.0,100,70
2023-01-05,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-05,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-05,Beso de Moza,Bocaditos,1.0,80,50
2023-01-05,Caramandugas,Bocaditos,0.25,300,250
2023-01-05,Rosquitas,Bocaditos,0.25,300,250
2023-01-06,Pan Chabatta,Panes,0.25,768,720
2023-01-06,Pan Francés,Panes,0.25,648,610
2023-01-06,Pan Yema Largo,Panes,0.25,360,320
2023-01-06,Pan Yema Redondo,Panes,0.25,360,320
2023-01-06,Pan Chapla,Panes,0.25,144,110
2023-01-06,Pan Coliza,Panes,0.25,192,170
2023-01-06,Pan Integral,Panes,0.25,144,110
2023-01-06,Pan Caracol,Panes,0.25,144,110
2023-01-06,Pan Hamburguesa,Panes,0.4,288,240
2023-01-06,Cachito,Panes,0.25,144,110
2023-01-06,Pan Manjar,Panes,0.3,72,68
2023-01-06,Leche,Abarrotes,4.0,5,2
2023-01-06,Jamon,Abarrotes,2.5,6,3
2023-01-06,Café,Abarrotes,2.0,5,2
2023-01-06,Queso,Abarrotes,3.0,4,2
2023-01-06,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-06,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-06,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-06,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-06,Cookie,Bocaditos,2.0,100,70
2023-01-06,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-06,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-06,Beso de Moza,Bocaditos,1.0,80,51
2023-01-06,Caramandugas,Bocaditos,0.25,300,250
2023-01-06,Rosquitas,Bocaditos,0.25,300,250
2023-01-07,Pan Chabatta,Panes,0.25,768,733
2023-01-07,Pan Francés,Panes,0.25,648,619
2023-01-07,Pan Yema Largo,Panes,0.25,360,321
2023-01-07,Pan Yema Redondo,Panes,0.25,360,322
2023-01-07,Pan Chapla,Panes,0.25,144,119
2023-01-07,Pan Coliza,Panes,0.25,192,175
2023-01-07,Pan Integral,Panes,0.25,144,111
2023-01-07,Pan Caracol,Panes,0.25,144,114
2023-01-07,Pan Hamburguesa,Panes,0.4,288,248
2023-01-07,Cachito,Panes,0.25,144,116
2023-01-07,Pan Manjar,Panes,0.3,72,68
2023-01-07,Leche,Abarrotes,4.0,5,3
2023-01-07,Jamon,Abarrotes,2.5,6,5
2023-01-07,Café,Abarrotes,2.0,5,3
2023-01-07,Queso,Abarrotes,3.0,4,3
2023-01-07,Alfajores Pequeños,Bocaditos,0.25,200,155
2023-01-07,Alfajores Grandes,Bocaditos,1.0,100,79
2023-01-07,Galletas Pequeñas,Bocaditos,0.25,200,160
2023-01-07,Galletas Grandes,Bocaditos,1.0,300,292
2023-01-07,Cookie,Bocaditos,2.0,100,70
2023-01-07,Orejitas Pequeñas,Bocaditos,0.25,200,151
2023-01-07,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-07,Beso de Moza,Bocaditos,1.0,80,58
2023-01-07,Caramandugas,Bocaditos,0.25,300,254
2023-01-07,Rosquitas,Bocaditos,0.25,300,255
2023-01-08,Pan Chabatta,Panes,0.25,768,731
2023-01-08,Pan Francés,Panes,0.25,648,619
2023-01-08,Pan Yema Largo,Panes,0.25,360,329
2023-01-08,Pan Yema Redondo,Panes,0.25,360,320
2023-01-08,Pan Chapla,Panes,0.25,144,110
2023-01-08,Pan Coliza,Panes,0.25,192,173
2023-01-08,Pan Integral,Panes,0.25,144,110
2023-01-08,Pan Caracol,Panes,0.25,144,115
2023-01-08,Pan Hamburguesa,Panes,0.4,288,251
2023-01-08,Cachito,Panes,0.25,144,119
2023-01-08,Pan Manjar,Panes,0.3,72,68
2023-01-08,Leche,Abarrotes,4.0,5,4
2023-01-08,Jamon,Abarrotes,2.5,6,3
2023-01-08,Café,Abarrotes,2.0,5,2
2023-01-08,Queso,Abarrotes,3.0,4,2
2023-01-08,Alfajores Pequeños,Bocaditos,0.25,200,152
2023-01-08,Alfajores Grandes,Bocaditos,1.0,100,81
2023-01-08,Galletas Pequeñas,Bocaditos,0.25,200,151
2023-01-08,Galletas Grandes,Bocaditos,1.0,300,294
2023-01-08,Cookie,Bocaditos,2.0,100,73
2023-01-08,Orejitas Pequeñas,Bocaditos,0.25,200,155
2023-01-08,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-08,Beso de Moza,Bocaditos,1.0,80,61
2023-01-08,Caramandugas,Bocaditos,0.25,300,259
2023-01-08,Rosquitas,Bocaditos,0.25,300,256
2023-01-09,Pan Chabatta,Panes,0.25,768,720
2023-01-09,Pan Francés,Panes,0.25,648,610
2023-01-09,Pan Yema Largo,Panes,0.25,360,320
2023-01-09,Pan Yema Redondo,Panes,0.25,360,320
2023-01-09,Pan Chapla,Panes,0.25,144,110
2023-01-09,Pan Coliza,Panes,0.25,192,170
2023-01-09,Pan Integral,Panes,0.25,144,110
2023-01-09,Pan Caracol,Panes,0.25,144,110
2023-01-09,Pan Hamburguesa,Panes,0.4,288,240
2023-01-09,Cachito,Panes,0.25,144,110
2023-01-09,Pan Manjar,Panes,0.3,72,68
2023-01-09,Leche,Abarrotes,4.0,5,2
2023-01-09,Jamon,Abarrotes,2.5,6,3
2023-01-09,Café,Abarrotes,2.0,5,2
2023-01-09,Queso,Abarrotes,3.0,4,2
2023-01-09,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-09,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-09,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-09,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-09,Cookie,Bocaditos,2.0,100,70
2023-01-09,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-09,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-09,Beso de Moza,Bocaditos,1.0,80,50
2023-01-09,Caramandugas,Bocaditos,0.25,300,250
2023-01-09,Rosquitas,Bocaditos,0.25,300,250
2023-01-10,Pan Chabatta,Panes,0.25,768,720
2023-01-10,Pan Francés,Panes,0.25,648,610
2023-01-10,Pan Yema Largo,Panes,0.25,360,320
2023-01-10,Pan Yema Redondo,Panes,0.25,360,320
2023-01-10,Pan Chapla,Panes,0.25,144,110
2023-01-10,Pan Coliza,Panes,0.25,192,170
2023-01-10,Pan Integral,Panes,0.25,144,110
2023-01-10,Pan Caracol,Panes,0.25,144,110
2023-01-10,Pan Hamburguesa,Panes,0.4,288,240
2023-01-10,Cachito,Panes,0.25,144,110
2023-01-10,Pan Manjar,Panes,0.3,72,68
2023-01-10,Leche,Abarrotes,4.0,5,2
2023-01-10,Jamon,Abarrotes,2.5,6,3
2023-01-10,Café,Abarrotes,2.0,5,2
2023-01-10,Queso,Abarrotes,3.0,4,2
2023-01-10,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-10,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-10,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-10,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-10,Cookie,Bocaditos,2.0,100,70
2023-01-10,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-10,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-10,Beso de Moza,Bocaditos,1.0,80,50
2023-01-10,Caramandugas,Bocaditos,0.25,300,250
2023-01-10,Rosquitas,Bocaditos,0.25,300,250
2023-01-11,Pan Chabatta,Panes,0.25,768,720
2023-01-11,Pan Francés,Panes,0.25,648,610
2023-01-11,Pan Yema Largo,Panes,0.25,360,320
2023-01-11,Pan Yema Redondo,Panes,0.25,360,320
2023-01-11,Pan Chapla,Panes,0.25,144,110
2023-01-11,Pan Coliza,Panes,0.25,192,170
2023-01-11,Pan Integral,Panes,0.25,144,110
2023-01-11,Pan Caracol,Panes,0.25,144,110
2023-01-11,Pan Hamburguesa,Panes,0.4,288,240
2023-01-11,Cachito,Panes,0.25,144,110
2023-01-11,Pan Manjar,Panes,0.3,72,68
2023-01-11,Leche,Abarrotes,4.0,5,2
2023-01-11,Jamon,Abarrotes,2.5,6,3
2023-01-11,Café,Abarrotes,2.0,5,2
2023-01-11,Queso,Abarrotes,3.0,4,2
2023-01-11,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-11,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-11,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-11,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-11,Cookie,Bocaditos,2.0,100,70
2023-01-11,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-11,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-11,Beso de Moza,Bocaditos,1.0,80,50
2023-01-11,Caramandugas,Bocaditos,0.25,300,250
2023-01-11,Rosquitas,Bocaditos,0.25,300,250
2023-01-12,Pan Chabatta,Panes,0.25,768,720
2023-01-12,Pan Francés,Panes,0.25,648,610
2023-01-12,Pan Yema Largo,Panes,0.25,360,320
2023-01-12,Pan Yema Redondo,Panes,0.25,360,320
2023-01-12,Pan Chapla,Panes,0.25,144,110
2023-01-12,Pan Coliza,Panes,0.25,192,170
2023-01-12,Pan Integral,Panes,0.25,144,110
2023-01-12,Pan Caracol,Panes,0.25,144,110
2023-01-12,Pan Hamburguesa,Panes,0.4,288,240
2023-01-12,Cachito,Panes,0.25,144,110
2023-01-12,Pan Manjar,Panes,0.3,72,68
2023-01-12,Leche,Abarrotes,4.0,5,2
2023-01-12,Jamon,Abarrotes,2.5,6,4
2023-01-12,Café,Abarrotes,2.0,5,3
2023-01-12,Queso,Abarrotes,3.0,4,2
2023-01-12,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-12,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-12,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-12,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-12,Cookie,Bocaditos,2.0,100,70
2023-01-12,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-12,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-12,Beso de Moza,Bocaditos,1.0,80,50
2023-01-12,Caramandugas,Bocaditos,0.25,300,250
2023-01-12,Rosquitas,Bocaditos,0.25,300,250
2023-01-13,Pan Chabatta,Panes,0.25,768,720
2023-01-13,Pan Francés,Panes,0.25,648,610
2023-01-13,Pan Yema Largo,Panes,0.25,360,320
2023-01-13,Pan Yema Redondo,Panes,0.25,360,320
2023-01-13,Pan Chapla,Panes,0.25,144,110
2023-01-13,Pan Coliza,Panes,0.25,192,170
2023-01-13,Pan Integral,Panes,0.25,144,110
2023-01-13,Pan Caracol,Panes,0.25,144,110
2023-01-13,Pan Hamburguesa,Panes,0.4,288,240
2023-01-13,Cachito,Panes,0.25,144,110
2023-01-13,Pan Manjar,Panes,0.3,72,68
2023-01-13,Leche,Abarrotes,4.0,5,2
2023-01-13,Jamon,Abarrotes,2.5,6,3
2023-01-13,Café,Abarrotes,2.0,5,2
2023-01-13,Queso,Abarrotes,3.0,4,2
2023-01-13,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-13,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-13,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-13,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-13,Cookie,Bocaditos,2.0,100,70
2023-01-13,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-13,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-13,Beso de Moza,Bocaditos,1.0,80,54
2023-01-13,Caramandugas,Bocaditos,0.25,300,250
2023-01-13,Rosquitas,Bocaditos,0.25,300,250
2023-01-14,Pan Chabatta,Panes,0.25,768,734
2023-01-14,Pan Francés,Panes,0.25,648,615
2023-01-14,Pan Yema Largo,Panes,0.25,360,320
2023-01-14,Pan Yema Redondo,Panes,0.25,360,323
2023-01-14,Pan Chapla,Panes,0.25,144,115
2023-01-14,Pan Coliza,Panes,0.25,192,172
2023-01-14,Pan Integral,Panes,0.25,144,120
2023-01-14,Pan Caracol,Panes,0.25,144,113
2023-01-14,Pan Hamburguesa,Panes,0.4,288,250
2023-01-14,Cachito,Panes,0.25,144,111
2023-01-14,Pan Manjar,Panes,0.3,72,69
2023-01-14,Leche,Abarrotes,4.0,5,2
2023-01-14,Jamon,Abarrotes,2.5,6,4
2023-01-14,Café,Abarrotes,2.0,5,3
2023-01-14,Queso,Abarrotes,3.0,4,3
2023-01-14,Alfajores Pequeños,Bocaditos,0.25,200,156
2023-01-14,Alfajores Grandes,Bocaditos,1.0,100,76
2023-01-14,Galletas Pequeñas,Bocaditos,0.25,200,158
2023-01-14,Galletas Grandes,Bocaditos,1.0,300,293
2023-01-14,Cookie,Bocaditos,2.0,100,70
2023-01-14,Orejitas Pequeñas,Bocaditos,0.25,200,158
2023-01-14,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-14,Beso de Moza,Bocaditos,1.0,80,56
2023-01-14,Caramandugas,Bocaditos,0.25,300,256
2023-01-14,Rosquitas,Bocaditos,0.25,300,258
2023-01-15,Pan Chabatta,Panes,0.25,768,733
2023-01-15,Pan Francés,Panes,0.25,648,619
2023-01-15,Pan Yema Largo,Panes,0.25,360,328
2023-01-15,Pan Yema Redondo,Panes,0.25,360,323
2023-01-15,Pan Chapla,Panes,0.25,144,111
2023-01-15,Pan Coliza,Panes,0.25,192,171
2023-01-15,Pan Integral,Panes,0.25,144,111
2023-01-15,Pan Caracol,Panes,0.25,144,110
2023-01-15,Pan Hamburguesa,Panes,0.4,288,244
2023-01-15,Cachito,Panes,0.25,144,116
2023-01-15,Pan Manjar,Panes,0.3,72,69
2023-01-15,Leche,Abarrotes,4.0,5,2
2023-01-15,Jamon,Abarrotes,2.5,6,4
2023-01-15,Café,Abarrotes,2.0,5,2
2023-01-15,Queso,Abarrotes,3.0,4,3
2023-01-15,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-15,Alfajores Grandes,Bocaditos,1.0,100,81
2023-01-15,Galletas Pequeñas,Bocaditos,0.25,200,155
2023-01-15,Galletas Grandes,Bocaditos,1.0,300,296
2023-01-15,Cookie,Bocaditos,2.0,100,75
2023-01-15,Orejitas Pequeñas,Bocaditos,0.25,200,152
2023-01-15,Orejas Grandes,Bocaditos,1.0,100,71
2023-01-15,Beso de Moza,Bocaditos,1.0,80,53
2023-01-15,Caramandugas,Bocaditos,0.25,300,256
2023-01-15,Rosquitas,Bocaditos,0.25,300,259
2023-01-16,Pan Chabatta,Panes,0.25,768,720
2023-01-16,Pan Francés,Panes,0.25,648,610
2023-01-16,Pan Yema Largo,Panes,0.25,360,320
2023-01-16,Pan Yema Redondo,Panes,0.25,360,320
2023-01-16,Pan Chapla,Panes,0.25,144,110
2023-01-16,Pan Coliza,Panes,0.25,192,170
2023-01-16,Pan Integral,Panes,0.25,144,110
2023-01-16,Pan Caracol,Panes,0.25,144,110
2023-01-16,Pan Hamburguesa,Panes,0.4,288,240
2023-01-16,Cachito,Panes,0.25,144,110
2023-01-16,Pan Manjar,Panes,0.3,72,68
2023-01-16,Leche,Abarrotes,4.0,5,2
2023-01-16,Jamon,Abarrotes,2.5,6,3
2023-01-16,Café,Abarrotes,2.0,5,2
2023-01-16,Queso,Abarrotes,3.0,4,2
2023-01-16,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-16,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-16,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-16,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-16,Cookie,Bocaditos,2.0,100,70
2023-01-16,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-16,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-16,Beso de Moza,Bocaditos,1.0,80,50
2023-01-16,Caramandugas,Bocaditos,0.25,300,250
2023-01-16,Rosquitas,Bocaditos,0.25,300,250
2023-01-17,Pan Chabatta,Panes,0.25,768,720
2023-01-17,Pan Francés,Panes,0.25,648,610
2023-01-17,Pan Yema Largo,Panes,0.25,360,320
2023-01-17,Pan Yema Redondo,Panes,0.25,360,320
2023-01-17,Pan Chapla,Panes,0.25,144,110
2023-01-17,Pan Coliza,Panes,0.25,192,170
2023-01-17,Pan Integral,Panes,0.25,144,110
2023-01-17,Pan Caracol,Panes,0.25,144,110
2023-01-17,Pan Hamburguesa,Panes,0.4,288,240
2023-01-17,Cachito,Panes,0.25,144,110
2023-01-17,Pan Manjar,Panes,0.3,72,68
2023-01-17,Leche,Abarrotes,4.0,5,2
2023-01-17,Jamon,Abarrotes,2.5,6,3
2023-01-17,Café,Abarrotes,2.0,5,3
2023-01-17,Queso,Abarrotes,3.0,4,3
2023-01-17,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-17,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-17,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-17,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-17,Cookie,Bocaditos,2.0,100,70
2023-01-17,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-17,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-17,Beso de Moza,Bocaditos,1.0,80,50
2023-01-17,Caramandugas,Bocaditos,0.25,300,250
2023-01-17,Rosquitas,Bocaditos,0.25,300,250
2023-01-18,Pan Chabatta,Panes,0.25,768,720
2023-01-18,Pan Francés,Panes,0.25,648,610
2023-01-18,Pan Yema Largo,Panes,0.25,360,320
2023-01-18,Pan Yema Redondo,Panes,0.25,360,320
2023-01-18,Pan Chapla,Panes,0.25,144,110
2023-01-18,Pan Coliza,Panes,0.25,192,170
2023-01-18,Pan Integral,Panes,0.25,144,110
2023-01-18,Pan Caracol,Panes,0.25,144,110
2023-01-18,Pan Hamburguesa,Panes,0.4,288,240
2023-01-18,Cachito,Panes,0.25,144,110
2023-01-18,Pan Manjar,Panes,0.3,72,68
2023-01-18,Leche,Abarrotes,4.0,5,2
2023-01-18,Jamon,Abarrotes,2.5,6,3
2023-01-18,Café,Abarrotes,2.0,5,3
2023-01-18,Queso,Abarrotes,3.0,4,3
2023-01-18,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-18,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-18,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-18,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-18,Cookie,Bocaditos,2.0,100,70
2023-01-18,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-18,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-18,Beso de Moza,Bocaditos,1.0,80,50
2023-01-18,Caramandugas,Bocaditos,0.25,300,250
2023-01-18,Rosquitas,Bocaditos,0.25,300,250
2023-01-19,Pan Chabatta,Panes,0.25,768,720
2023-01-19,Pan Francés,Panes,0.25,648,610
2023-01-19,Pan Yema Largo,Panes,0.25,360,320
2023-01-19,Pan Yema Redondo,Panes,0.25,360,320
2023-01-19,Pan Chapla,Panes,0.25,144,110
2023-01-19,Pan Coliza,Panes,0.25,192,170
2023-01-19,Pan Integral,Panes,0.25,144,110
2023-01-19,Pan Caracol,Panes,0.25,144,110
2023-01-19,Pan Hamburguesa,Panes,0.4,288,240
2023-01-19,Cachito,Panes,0.25,144,110
2023-01-19,Pan Manjar,Panes,0.3,72,68
2023-01-19,Leche,Abarrotes,4.0,5,3
2023-01-19,Jamon,Abarrotes,2.5,6,3
2023-01-19,Café,Abarrotes,2.0,5,2
2023-01-19,Queso,Abarrotes,3.0,4,2
2023-01-19,Alfajores Pequeños,Bocaditos,0.25,200,150
2023-01-19,Alfajores Grandes,Bocaditos,1.0,100,75
2023-01-19,Galletas Pequeñas,Bocaditos,0.25,200,150
2023-01-19,Galletas Grandes,Bocaditos,1.0,300,290
2023-01-19,Cookie,Bocaditos,2.0,100,70
2023-01-19,Orejitas Pequeñas,Bocaditos,0.25,200,150
2023-01-19,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-19,Beso de Moza,Bocaditos,1.0,80,50
2023-01-19,Caramandugas,Bocaditos,0.25,300,250
2023-01-19,Rosquitas,Bocaditos,0.25,300,250
2023-01-20,Pan Chabatta,Panes,0.25,768,720
2023-01-20,Pan Francés,Panes,0.25,648,610
2023-01-20,Pan Yema Largo,Panes,0.25,360,320
2023-01-20,Pan Yema Redondo,Panes,0.25,360,320
2023-01-20,Pan Chapla,Panes,0.25,144,110
2023-01-20,Pan Coliza,Panes,0.25,192,170
2023-01-20,Pan Integral,Panes,0.25,144,110
2023-01-20,Pan Caracol,Panes,0.25,144,110
2023-01-20,Pan Hamburguesa,Panes,0.4,288,240
2023-01-20,Cachito,Panes,0.25,144,110
2023-01-20,Pan Manjar,Panes,0.3,72,68
2023-01-20,Leche,Abarrotes,4.0,5,2
2023-01-20,Jamon,Abarrotes,2.5,6,3
2023-01-20,Café,Abarrotes,2.0,5,3
