Fecha,Producto,Precio,Inventario,Despacho _Total,Dia,Estacionalidad
2024-01-03,Jamon,2.5,6,6,Miércoles,No
2024-01-03,Cafe,2.0,5,4,Miércoles,No
2024-01-03,Queso,3.0,4,3,Miércoles,No
2024-01-04,Pan Ciabatta,0.25,768,766,Jueves,No
2024-01-04,Pan Francés,0.25,648,662,Jueves,No
2024-01-04,Pan Yema Largo,0.25,360,374,Jueves,No
2024-01-04,Pan Yema Redondo,0.25,360,339,Jueves,No
2024-01-04,Pan Chapla,0.25,144,147,Jueves,No
2024-01-04,Pan Coliza,0.25,192,190,Jueves,No
2024-01-04,Pan Integral,0.25,144,142,Jueves,No
2024-01-04,Pan Caracol,0.25,144,143,Jueves,No
2024-01-04,Pan Hamburguesa,0.4,288,299,Jueves,No
2024-01-04,Cachito,0.25,144,141,Jueves,No
2024-01-04,Pan Manjar,0.3,24,26,Jueves,No
2024-01-04,Leche,4.0,5,3,Jueves,No
2024-01-04,Jamon,2.5,6,5,Jueves,No
2024-01-04,Cafe,2.0,5,6,Jueves,No
2024-01-04,Queso,3.0,4,2,Jueves,No
2024-01-05,Pan Ciabatta,0.25,768,777,Viernes,No
2024-01-05,Pan Francés,0.25,648,632,Viernes,No
2024-01-05,Pan Yema Largo,0.25,360,317,Viernes,No
2024-01-05,Pan Yema Redondo,0.25,360,387,Viernes,No
2024-01-05,Pan Chapla,0.25,144,141,Viernes,No
2024-01-05,Pan Coliza,0.25,192,193,Viernes,No
2024-01-05,Pan Integral,0.25,144,142,Viernes,No
2024-01-05,Pan Caracol,0.25,144,150,Viernes,No
2024-01-05,Pan Hamburguesa,0.4,288,282,Viernes,No
2024-01-05,Cachito,0.25,144,145,Viernes,No
2024-01-05,Pan Manjar,0.3,24,23,Viernes,No
2024-01-05,Leche,4.0,5,4,Viernes,No
2024-01-05,Jamon,2.5,6,5,Viernes,No
2024-01-05,Cafe,2.0,5,5,Viernes,No
2024-01-05,Queso,3.0,4,2,Viernes,No
2024-01-06,Pan Ciabatta,0.25,768,724,Saturday,No
2024-01-06,Pan Francés,0.25,648,668,Saturday,No
2024-01-06,Pan Yema Largo,0.25,360,303,Saturday,No
2024-01-06,Pan Yema Redondo,0.25,360,334,Saturday,No
2024-01-06,Pan Chapla,0.25,144,145,Sábado,Sí
2024-01-06,Pan Coliza,0.25,192,199,Saturday,No
2024-01-06,Pan Integral,0.25,144,146,Saturday,No
2024-01-06,Pan Caracol,0.25,144,143,Saturday,No
2024-01-06,Pan Hamburguesa,0.4,288,297,Saturday,No
2024-01-06,Cachito,0.25,144,141,Saturday,No
2024-01-06,Pan Manjar,0.3,24,28,Saturday,No
2024-01-06,Leche,4.0,5,3,Saturday,No
2024-01-06,Jamon,2.5,6,5,Saturday,No
2024-01-06,Cafe,2.0,5,7,Saturday,No
2024-01-06,Queso,3.0,4,2,Saturday,No
2024-01-07,Pan Ciabatta,0.25,768,770,Domingo,No
2024-01-07,Pan Francés,0.25,648,633,Domingo,No
2024-01-07,Pan Yema Largo,0.25,360,322,Domingo,No
2024-01-07,Pan Yema Redondo,0.25,360,391,Domingo,No
2024-01-07,Pan Chapla,0.25,144,146,Domingo,No
2024-01-07,Pan Coliza,0.25,192,193,Domingo,No
2024-01-07,Pan Integral,0.25,144,148,Domingo,No
2024-01-07,Pan Caracol,0.25,144,144,Domingo,No
2024-01-07,Pan Hamburguesa,0.4,288,292,Domingo,No
2024-01-07,Cachito,0.25,144,143,Domingo,No
2024-01-07,Pan Manjar,0.3,24,25,Domingo,No
2024-01-07,Leche,4.0,5,5,Domingo,No
2024-01-07,Jamon,2.5,6,4,Domingo,No
2024-01-07,Cafe,2.0,5,7,Domingo,No
2024-01-07,Queso,3.0,4,5,Domingo,No
2024-01-08,Pan Ciabatta,0.25,768,774,Lunes,No
2024-01-08,Pan Francés,0.25,648,611,Lunes,No
2024-01-08,Pan Yema Largo,0.25,360,373,Lunes,No
2024-01-08,Pan Yema Redondo,0.25,360,305,Lunes,No
2024-01-08,Pan Chapla,0.25,144,148,Lunes,No
2024-01-08,Pan Coliza,0.25,192,198,Lunes,No
2024-01-08,Pan Integral,0.25,144,143,Lunes,No
2024-01-08,Pan Caracol,0.25,144,142,Lunes,No
2024-01-08,Pan Hamburguesa,0.4,288,288,Lunes,No
2024-01-08,Cachito,0.25,144,148,Lunes,No
2024-01-08,Pan Manjar,0.3,24,23,Lunes,No
2024-01-08,Leche,4.0,5,4,Lunes,No
2024-01-08,Jamon,2.5,6,4,Lunes,No
2024-01-08,Cafe,2.0,5,7,Lunes,No
2024-01-08,Queso,3.0,4,2,Lunes,No
2024-01-09,Pan Ciabatta,0.25,768,776,Martes,No
2024-01-09,Pan Francés,0.25,648,621,Martes,No
2024-01-09,Pan Yema Largo,0.25,360,321,Martes,No
2024-01-09,Pan Yema Redondo,0.25,360,335,Martes,No
2024-01-09,Pan Chapla,0.25,144,142,Martes,No
2024-01-09,Pan Coliza,0.25,192,194,Martes,No
2024-01-09,Pan Integral,0.25,144,144,Martes,No
2024-01-09,Pan Caracol,0.25,144,143,Martes,No
2024-01-09,Pan Hamburguesa,0.4,288,282,Martes,No
2024-01-09,Cachito,0.25,144,145,Martes,No
2024-01-09,Pan Manjar,0.3,24,22,Martes,No
2024-01-09,Leche,4.0,5,5,Martes,No
2024-01-09,Jamon,2.5,6,4,Martes,No
2024-01-09,Cafe,2.0,5,4,Martes,No
2024-01-09,Queso,3.0,4,5,Martes,No
2024-01-10,Pan Ciabatta,0.25,768,738,Miércoles,No
2024-01-10,Pan Francés,0.25,648,629,Miércoles,No
2024-01-10,Pan Yema Largo,0.25,360,387,Miércoles,No
2024-01-10,Pan Yema Redondo,0.25,360,367,Miércoles,No
2024-01-10,Pan Chapla,0.25,144,145,Miércoles,No
2024-01-10,Pan Coliza,0.25,192,197,Miércoles,No
2024-01-10,Pan Integral,0.25,144,141,Miércoles,No
2024-01-10,Pan Caracol,0.25,144,146,Miércoles,No
2024-01-10,Pan Hamburguesa,0.4,288,299,Miércoles,No
2024-01-10,Cachito,0.25,144,150,Miércoles,No
2024-01-10,Pan Manjar,0.3,24,23,Miércoles,No
2024-01-10,Leche,4.0,5,2,Miércoles,No
2024-01-10,Jamon,2.5,6,5,Miércoles,No
2024-01-10,Cafe,2.0,5,7,Miércoles,No
2024-01-10,Queso,3.0,4,4,Miércoles,No
2024-01-11,Pan Ciabatta,0.25,768,760,Jueves,No
2024-01-11,Pan Francés,0.25,648,648,Jueves,No
2024-01-11,Pan Yema Largo,0.25,360,352,Jueves,No
2024-01-11,Pan Yema Redondo,0.25,360,306,Jueves,No
2024-01-11,Pan Chapla,0.25,144,146,Jueves,No
2024-01-11,Pan Coliza,0.25,192,198,Jueves,No
2024-01-11,Pan Integral,0.25,144,148,Jueves,No
2024-01-11,Pan Caracol,0.25,144,149,Jueves,No
2024-01-11,Pan Hamburguesa,0.4,288,297,Jueves,No
2024-01-11,Cachito,0.25,144,148,Jueves,No
2024-01-11,Pan Manjar,0.3,24,22,Jueves,No
2024-01-11,Leche,4.0,5,5,Jueves,No
2024-01-11,Jamon,2.5,6,6,Jueves,No
2024-01-11,Cafe,2.0,5,5,Jueves,No
2024-01-11,Queso,3.0,4,2,Jueves,No
2024-01-12,Pan Ciabatta,0.25,768,735,Viernes,No
2024-01-12,Pan Francés,0.25,648,687,Viernes,No
2024-01-12,Pan Yema Largo,0.25,360,309,Viernes,No
2024-01-12,Pan Yema Redondo,0.25,360,396,Viernes,No
2024-01-12,Pan Chapla,0.25,144,145,Viernes,No
2024-01-12,Pan Coliza,0.25,192,193,Viernes,No
2024-01-12,Pan Integral,0.25,144,149,Viernes,No
2024-01-12,Pan Caracol,0.25,144,147,Viernes,No
2024-01-12,Pan Hamburguesa,0.4,288,282,Viernes,No
2024-01-12,Cachito,0.25,144,145,Viernes,No
2024-01-12,Pan Manjar,0.3,24,26,Viernes,No
2024-01-12,Leche,4.0,5,2,Viernes,No
2024-01-12,Jamon,2.5,6,4,Viernes,No
2024-01-12,Cafe,2.0,5,5,Viernes,No
2024-01-12,Queso,3.0,4,3,Viernes,No
2024-01-13,Pan Ciabatta,0.25,768,756,Saturday,No
2024-01-13,Pan Francés,0.25,648,604,Saturday,No
2024-01-13,Pan Yema Largo,0.25,360,390,Saturday,No
2024-01-13,Pan Yema Redondo,0.25,360,355,Saturday,No
2024-01-13,Pan Chapla,0.25,144,143,Sábado,Sí
2024-01-13,Pan Coliza,0.25,192,196,Saturday,No
2024-01-13,Pan Integral,0.25,144,144,Saturday,No
2024-01-13,Pan Caracol,0.25,144,145,Saturday,No
2024-01-13,Pan Hamburguesa,0.4,288,299,Saturday,No
2024-01-13,Cachito,0.25,144,147,Saturday,No
2024-01-13,Pan Manjar,0.3,24,27,Saturday,No
2024-01-13,Leche,4.0,5,5,Saturday,No
2024-01-13,Jamon,2.5,6,6,Saturday,No
2024-01-13,Cafe,2.0,5,4,Saturday,No
2024-01-13,Queso,3.0,4,2,Saturday,No
2024-01-14,Pan Ciabatta,0.25,768,759,Domingo,No
2024-01-14,Pan Francés,0.25,648,602,Domingo,No
2024-01-14,Pan Yema Largo,0.25,360,356,Domingo,No
2024-01-14,Pan Yema Redondo,0.25,360,395,Domingo,No
2024-01-14,Pan Chapla,0.25,144,146,Domingo,No
2024-01-14,Pan Coliza,0.25,192,196,Domingo,No
2024-01-14,Pan Integral,0.25,144,147,Domingo,No
2024-01-14,Pan Caracol,0.25,144,144,Domingo,No
2024-01-14,Pan Hamburguesa,0.4,288,296,Domingo,No
2024-01-14,Cachito,0.25,144,150,Domingo,No
2024-01-14,Pan Manjar,0.3,24,24,Domingo,No
2024-01-14,Leche,4.0,5,3,Domingo,No
2024-01-14,Jamon,2.5,6,6,Domingo,No
2024-01-14,Cafe,2.0,5,5,Domingo,No
2024-01-14,Queso,3.0,4,5,Domingo,No
2024-01-15,Pan Ciabatta,0.25,768,766,Lunes,No
2024-01-15,Pan Francés,0.25,648,674,Lunes,No
2024-01-15,Pan Yema Largo,0.25,360,315,Lunes,No
2024-01-15,Pan Yema Redondo,0.25,360,386,Lunes,No
2024-01-15,Pan Chapla,0.25,144,146,Lunes,No
2024-01-15,Pan Coliza,0.25,192,196,Lunes,No
2024-01-15,Pan Integral,0.25,144,142,Lunes,No
2024-01-15,Pan Caracol,0.25,144,141,Lunes,No
2024-01-15,Pan Hamburguesa,0.4,288,286,Lunes,No
2024-01-15,Cachito,0.25,144,142,Lunes,No
2024-01-15,Pan Manjar,0.3,24,26,Lunes,No
2024-01-15,Leche,4.0,5,3,Lunes,No
2024-01-15,Jamon,2.5,6,5,Lunes,No
2024-01-15,Cafe,2.0,5,6,Lunes,No
2024-01-15,Queso,3.0,4,5,Lunes,No
2024-01-16,Pan Ciabatta,0.25,768,777,Martes,No
2024-01-16,Pan Francés,0.25,648,648,Martes,No
2024-01-16,Pan Yema Largo,0.25,360,330,Martes,No
2024-01-16,Pan Yema Redondo,0.25,360,378,Martes,No
2024-01-16,Pan Chapla,0.25,144,141,Martes,No
2024-01-16,Pan Coliza,0.25,192,195,Martes,No
2024-01-16,Pan Integral,0.25,144,146,Martes,No
2024-01-16,Pan Caracol,0.25,144,143,Martes,No
2024-01-16,Pan Hamburguesa,0.4,288,288,Martes,No
2024-01-16,Cachito,0.25,144,147,Martes,No
2024-01-16,Pan Manjar,0.3,24,23,Martes,No
2024-01-16,Leche,4.0,5,6,Martes,No
2024-01-16,Jamon,2.5,6,4,Martes,No
2024-01-16,Cafe,2.0,5,4,Martes,No
2024-01-16,Queso,3.0,4,3,Martes,No
2024-01-17,Pan Ciabatta,0.25,768,797,Miércoles,No
2024-01-17,Pan Francés,0.25,648,673,Miércoles,No
2024-01-17,Pan Yema Largo,0.25,360,318,Miércoles,No
2024-01-17,Pan Yema Redondo,0.25,360,303,Miércoles,No
2024-01-17,Pan Chapla,0.25,144,150,Miércoles,No
2024-01-17,Pan Coliza,0.25,192,193,Miércoles,No
2024-01-17,Pan Integral,0.25,144,146,Miércoles,No
2024-01-17,Pan Caracol,0.25,144,145,Miércoles,No
2024-01-17,Pan Hamburguesa,0.4,288,298,Miércoles,No
2024-01-17,Cachito,0.25,144,144,Miércoles,No
2024-01-17,Pan Manjar,0.3,24,24,Miércoles,No
2024-01-17,Leche,4.0,5,2,Miércoles,No
2024-01-17,Jamon,2.5,6,4,Miércoles,No
2024-01-17,Cafe,2.0,5,4,Miércoles,No
2024-01-17,Queso,3.0,4,4,Miércoles,No
2024-01-18,Pan Ciabatta,0.25,768,787,Jueves,No
2024-01-18,Pan Francés,0.25,648,653,Jueves,No
2024-01-18,Pan Yema Largo,0.25,360,327,Jueves,No
2024-01-18,Pan Yema Redondo,0.25,360,312,Jueves,No
2024-01-18,Pan Chapla,0.25,144,144,Jueves,No
2024-01-18,Pan Coliza,0.25,192,197,Jueves,No
2024-01-18,Pan Integral,0.25,144,145,Jueves,No
2024-01-18,Pan Caracol,0.25,144,140,Jueves,No
2024-01-18,Pan Hamburguesa,0.4,288,285,Jueves,No
2024-01-18,Cachito,0.25,144,144,Jueves,No
2024-01-18,Pan Manjar,0.3,24,24,Jueves,No
2024-01-18,Leche,4.0,5,2,Jueves,No
2024-01-18,Jamon,2.5,6,4,Jueves,No
2024-01-18,Cafe,2.0,5,7,Jueves,No
2024-01-18,Queso,3.0,4,4,Jueves,No
2024-01-19,Pan Ciabatta,0.25,768,749,Viernes,No
2024-01-19,Pan Francés,0.25,648,606,Viernes,No
2024-01-19,Pan Yema Largo,0.25,360,381,Viernes,No
2024-01-19,Pan Yema Redondo,0.25,360,318,Viernes,No
2024-01-19,Pan Chapla,0.25,144,143,Viernes,No
2024-01-19,Pan Coliza,0.25,192,198,Viernes,No
2024-01-19,Pan Integral,0.25,144,147,Viernes,No
2024-01-19,Pan Caracol,0.25,144,148,Viernes,No
2024-01-19,Pan Hamburguesa,0.4,288,293,Viernes,No
2024-01-19,Cachito,0.25,144,146,Viernes,No
2024-01-19,Pan Manjar,0.3,24,26,Viernes,No
2024-01-19,Leche,4.0,5,6,Viernes,No
2024-01-19,Jamon,2.5,6,5,Viernes,No
2024-01-19,Cafe,2.0,5,4,Viernes,No
2024-01-19,Queso,3.0,4,4,Viernes,No
2024-01-20,Pan Ciabatta,0.25,768,718,Saturday,No
2024-01-20,Pan Francés,0.25,648,661,Saturday,No
2024-01-20,Pan Yema Largo,0.25,360,346,Saturday,No
2024-01-20,Pan Yema Redondo,0.25,360,335,Saturday,No
2024-01-20,Pan Chapla,0.25,144,148,Sábado,Sí
2024-01-20,Pan Coliza,0.25,192,199,Saturday,No
2024-01-20,Pan Integral,0.25,144,142,Saturday,No
2024-01-20,Pan Caracol,0.25,144,146,Saturday,No
2024-01-20,Pan Hamburguesa,0.4,288,295,Saturday,No
2024-01-20,Cachito,0.25,144,142,Saturday,No
2024-01-20,Pan Manjar,0.3,24,28,Saturday,No
2024-01-20,Leche,4.0,5,3,Saturday,No
2024-01-20,Jamon,2.5,6,5,Saturday,No
2024-01-20,Cafe,2.0,5,6,Saturday,No
2024-01-20,Queso,3.0,4,5,Saturday,No
2024-01-21,Pan Ciabatta,0.25,768,778,Domingo,No
2024-01-21,Pan Francés,0.25,648,677,Domingo,No
2024-01-21,Pan Yema Largo,0.25,360,365,Domingo,No
2024-01-21,Pan Yema Redondo,0.25,360,400,Domingo,No
2024-01-21,Pan Chapla,0.25,144,150,Domingo,No
2024-01-21,Pan Coliza,0.25,192,196,Domingo,No
2024-01-21,Pan Integral,0.25,144,145,Domingo,No
2024-01-21,Pan Caracol,0.25,144,147,Domingo,No
2024-01-21,Pan Hamburguesa,0.4,288,300,Domingo,No
2024-01-21,Cachito,0.25,144,148,Domingo,No
2024-01-21,Pan Manjar,0.3,24,25,Domingo,No
2024-01-21,Leche,4.0,5,6,Domingo,No
2024-01-21,Jamon,2.5,6,6,Domingo,No
2024-01-21,Cafe,2.0,5,7,Domingo,No
2024-01-21,Queso,3.0,4,3,Domingo,No
2024-01-22,Pan Ciabatta,0.25,768,768,Lunes,No
2024-01-22,Pan Francés,0.25,648,659,Lunes,No
2024-01-22,Pan Yema Largo,0.25,360,330,Lunes,No
2024-01-22,Pan Yema Redondo,0.25,360,307,Lunes,No
2024-01-22,Pan Chapla,0.25,144,149,Lunes,No
2024-01-22,Pan Coliza,0.25,192,193,Lunes,No
2024-01-22,Pan Integral,0.25,144,147,Lunes,No
2024-01-22,Pan Caracol,0.25,144,146,Lunes,No
2024-01-22,Pan Hamburguesa,0.4,288,292,Lunes,No
2024-01-22,Cachito,0.25,144,147,Lunes,No
2024-01-22,Pan Manjar,0.3,24,22,Lunes,No
2024-01-22,Leche,4.0,5,4,Lunes,No
2024-01-22,Jamon,2.5,6,4,Lunes,No
2024-01-22,Cafe,2.0,5,4,Lunes,No
2024-01-22,Queso,3.0,4,4,Lunes,No
2024-01-23,Pan Ciabatta,0.25,768,785,Martes,No
2024-01-23,Pan Francés,0.25,648,624,Martes,No
2024-01-23,Pan Yema Largo,0.25,360,371,Martes,No
2024-01-23,Pan Yema Redondo,0.25,360,374,Martes,No
2024-01-23,Pan Chapla,0.25,144,143,Martes,No
2024-01-23,Pan Coliza,0.25,192,197,Martes,No
2024-01-23,Pan Integral,0.25,144,145,Martes,No
2024-01-23,Pan Caracol,0.25,144,148,Martes,No
2024-01-23,Pan Hamburguesa,0.4,288,280,Martes,No
2024-01-23,Cachito,0.25,144,145,Martes,No
2024-01-23,Pan Manjar,0.3,24,27,Martes,No
2024-01-23,Leche,4.0,5,5,Martes,No
2024-01-23,Jamon,2.5,6,4,Martes,No
2024-01-23,Cafe,2.0,5,5,Martes,No
2024-01-23,Queso,3.0,4,3,Martes,No
2024-01-24,Pan Ciabatta,0.25,768,700,Miércoles,No
2024-01-24,Pan Francés,0.25,648,686,Miércoles,No
2024-01-24,Pan Yema Largo,0.25,360,338,Miércoles,No
2024-01-24,Pan Yema Redondo,0.25,360,387,Miércoles,No
2024-01-24,Pan Chapla,0.25,144,149,Miércoles,No
2024-01-24,Pan Coliza,0.25,192,192,Miércoles,No
2024-01-24,Pan Integral,0.25,144,142,Miércoles,No
2024-01-24,Pan Caracol,0.25,144,149,Miércoles,No
2024-01-24,Pan Hamburguesa,0.4,288,292,Miércoles,No
2024-01-24,Cachito,0.25,144,140,Miércoles,No
2024-01-24,Pan Manjar,0.3,24,22,Miércoles,No
2024-01-24,Leche,4.0,5,4,Miércoles,No
2024-01-24,Jamon,2.5,6,5,Miércoles,No
2024-01-24,Cafe,2.0,5,5,Miércoles,No
2024-01-24,Queso,3.0,4,2,Miércoles,No
2024-01-25,Pan Ciabatta,0.25,768,736,Jueves,No
2024-01-25,Pan Francés,0.25,648,686,Jueves,No
2024-01-25,Pan Yema Largo,0.25,360,374,Jueves,No
2024-01-25,Pan Yema Redondo,0.25,360,307,Jueves,No
2024-01-25,Pan Chapla,0.25,144,145,Jueves,No
2024-01-25,Pan Coliza,0.25,192,193,Jueves,No
2024-01-25,Pan Integral,0.25,144,143,Jueves,No
2024-01-25,Pan Caracol,0.25,144,143,Jueves,No
2024-01-25,Pan Hamburguesa,0.4,288,299,Jueves,No
2024-01-25,Cachito,0.25,144,149,Jueves,No
2024-01-25,Pan Manjar,0.3,24,28,Jueves,No
2024-01-25,Leche,4.0,5,5,Jueves,No
2024-01-25,Jamon,2.5,6,4,Jueves,No
2024-01-25,Cafe,2.0,5,5,Jueves,No
2024-01-25,Queso,3.0,4,5,Jueves,No
2024-01-26,Pan Ciabatta,0.25,768,784,Viernes,No
2024-01-26,Pan Francés,0.25,648,643,Viernes,No
2024-01-26,Pan Yema Largo,0.25,360,382,Viernes,No
2024-01-26,Pan Yema Redondo,0.25,360,377,Viernes,No
2024-01-26,Pan Chapla,0.25,144,144,Viernes,No
2024-01-26,Pan Coliza,0.25,192,191,Viernes,No
2024-01-26,Pan Integral,0.25,144,141,Viernes,No
2024-01-26,Pan Caracol,0.25,144,141,Viernes,No
2024-01-26,Pan Hamburguesa,0.4,288,292,Viernes,No
2024-01-26,Cachito,0.25,144,143,Viernes,No
2024-01-26,Pan Manjar,0.3,24,24,Viernes,No
2024-01-26,Leche,4.0,5,6,Viernes,No
2024-01-26,Jamon,2.5,6,5,Viernes,No
2024-01-26,Cafe,2.0,5,7,Viernes,No
2024-01-26,Queso,3.0,4,3,Viernes,No
2024-01-27,Pan Ciabatta,0.25,768,712,Saturday,No
2024-01-27,Pan Francés,0.25,648,648,Saturday,No
2024-01-27,Pan Yema Largo,0.25,360,383,Saturday,No
2024-01-27,Pan Yema Redondo,0.25,360,398,Saturday,No
2024-01-27,Pan Chapla,0.25,144,140,Sábado,Sí
2024-01-27,Pan Coliza,0.25,192,196,Saturday,No
2024-01-27,Pan Integral,0.25,144,149,Saturday,No
2024-01-27,Pan Caracol,0.25,144,145,Saturday,No
2024-01-27,Pan Hamburguesa,0.4,288,283,Saturday,No
2024-01-27,Cachito,0.25,144,145,Saturday,No
2024-01-27,Pan Manjar,0.3,24,27,Saturday,No
2024-01-27,Leche,4.0,5,5,Saturday,No
2024-01-27,Jamon,2.5,6,4,Saturday,No
2024-01-27,Cafe,2.0,5,7,Saturday,No
2024-01-27,Queso,3.0,4,4,Saturday,No
2024-01-28,Pan Ciabatta,0.25,768,781,Domingo,No
2024-01-28,Pan Francés,0.25,648,627,Domingo,No
2024-01-28,Pan Yema Largo,0.25,360,338,Domingo,No
2024-01-28,Pan Yema Redondo,0.25,360,394,Domingo,No
2024-01-28,Pan Chapla,0.25,144,147,Domingo,No
2024-01-28,Pan Coliza,0.25,192,191,Domingo,No
2024-01-28,Pan Integral,0.25,144,142,Domingo,No
2024-01-28,Pan Caracol,0.25,144,147,Domingo,No
2024-01-28,Pan Hamburguesa,0.4,288,282,Domingo,No
2024-01-28,Cachito,0.25,144,141,Domingo,No
2024-01-28,Pan Manjar,0.3,24,25,Domingo,No
2024-01-28,Leche,4.0,5,5,Domingo,No
2024-01-28,Jamon,2.5,6,6,Domingo,No
2024-01-28,Cafe,2.0,5,6,Domingo,No
2024-01-28,Queso,3.0,4,3,Domingo,No
2024-01-29,Pan Ciabatta,0.25,768,737,Lunes,No
2024-01-29,Pan Francés,0.25,648,604,Lunes,No
2024-01-29,Pan Yema Largo,0.25,360,375,Lunes,No
2024-01-29,Pan Yema Redondo,0.25,360,342,Lunes,No
2024-01-29,Pan Chapla,0.25,144,143,Lunes,No
2024-01-29,Pan Coliza,0.25,192,190,Lunes,No
2024-01-29,Pan Integral,0.25,144,145,Lunes,No
2024-01-29,Pan Caracol,0.25,144,143,Lunes,No
2024-01-29,Pan Hamburguesa,0.4,288,281,Lunes,No
2024-01-29,Cachito,0.25,144,141,Lunes,No
2024-01-29,Pan Manjar,0.3,24,25,Lunes,No
2024-01-29,Leche,4.0,5,2,Lunes,No
2024-01-29,Jamon,2.5,6,4,Lunes,No
2024-01-29,Cafe,2.0,5,4,Lunes,No
2024-01-29,Queso,3.0,4,3,Lunes,No
2024-01-30,Pan Ciabatta,0.25,768,707,Martes,No
2024-01-30,Pan Francés,0.25,648,686,Martes,No
2024-01-30,Pan Yema Largo,0.25,360,370,Martes,No
2024-01-30,Pan Yema Redondo,0.25,360,300,Martes,No
2024-01-30,Pan Chapla,0.25,144,140,Martes,No
2024-01-30,Pan Coliza,0.25,192,193,Martes,No
2024-01-30,Pan Integral,0.25,144,141,Martes,No
2024-01-30,Pan Caracol,0.25,144,150,Martes,No
2024-01-30,Pan Hamburguesa,0.4,288,296,Martes,No
2024-01-30,Cachito,0.25,144,143,Martes,No
2024-01-30,Pan Manjar,0.3,24,27,Martes,No
2024-01-30,Leche,4.0,5,5,Martes,No
2024-01-30,Jamon,2.5,6,4,Martes,No
2024-01-30,Cafe,2.0,5,5,Martes,No
2024-01-30,Queso,3.0,4,4,Martes,No
2024-01-31,Pan Ciabatta,0.25,768,735,Miércoles,No
2024-01-31,Pan Francés,0.25,648,634,Miércoles,No
2024-01-31,Pan Yema Largo,0.25,360,391,Miércoles,No
2024-01-31,Pan Yema Redondo,0.25,360,329,Miércoles,No
2024-01-31,Pan Chapla,0.25,144,147,Miércoles,No
2024-01-31,Pan Coliza,0.25,192,192,Miércoles,No
2024-01-31,Pan Integral,0.25,144,148,Miércoles,No
2024-01-31,Pan Caracol,0.25,144,149,Miércoles,No
2024-01-31,Pan Hamburguesa,0.4,288,285,Miércoles,No
2024-01-31,Cachito,0.25,144,148,Miércoles,No
2024-01-31,Pan Manjar,0.3,24,24,Miércoles,No
2024-01-31,Leche,4.0,5,2,Miércoles,No
2024-01-31,Jamon,2.5,6,6,Miércoles,No
2024-01-31,Cafe,2.0,5,4,Miércoles,No
2024-01-31,Queso,3.0,4,4,Miércoles,No
2024-02-01,Pan Ciabatta,0.25,768,793,Jueves,No
2024-02-01,Pan Francés,0.25,648,640,Jueves,No
2024-02-01,Pan Yema Largo,0.25,360,306,Jueves,No
2024-02-01,Pan Yema Redondo,0.25,360,336,Jueves,No
2024-02-01,Pan Chapla,0.25,144,147,Jueves,No
2024-02-01,Pan Coliza,0.25,192,194,Jueves,No
2024-02-01,Pan Integral,0.25,144,147,Jueves,No
2024-02-01,Pan Caracol,0.25,144,148,Jueves,No
