Fecha,Venta Mañana,Venta Noche,Total del Día
2024-10-25,883,895,1778
2024-10-26,874,885,1759
2024-10-27,834,882,1716
2024-10-28,821,823,1644
2024-10-29,806,830,1636
2024-10-30,864,837,1701
2024-10-31,890,834,1724
2024-11-01,831,809,1640
2024-11-02,877,892,1769
2024-11-03,885,825,1710
2024-11-04,834,841,1675
2024-11-05,803,869,1672
2024-11-06,846,824,1670
2024-11-07,890,900,1790
2024-11-08,848,845,1693
2024-11-09,833,896,1729
2024-11-10,871,837,1708
2024-11-11,835,832,1667
2024-11-12,892,873,1765
2024-11-13,801,804,1605
2024-11-14,856,844,1700
2024-11-15,900,840,1740
2024-11-16,884,818,1702
2024-11-17,880,807,1687
2024-11-18,832,850,1682
2024-11-19,893,875,1768
2024-11-20,814,888,1702
2024-11-21,876,839,1715
2024-11-22,890,848,1738
2024-11-23,896,845,1741
2024-11-24,849,896,1745
2024-11-25,809,816,1625
2024-11-26,841,864,1705
2024-11-27,824,859,1683
2024-11-28,814,834,1648
2024-11-29,876,881,1757
2024-11-30,820,801,1621
2024-12-01,813,853,1666
2024-12-02,809,895,1704
2024-12-03,877,800,1677
2024-12-04,843,846,1689
2024-12-05,848,860,1708
2024-12-06,810,830,1640
2024-12-07,820,895,1715
2024-12-08,851,881,1732
2024-12-09,802,880,1682
2024-12-10,882,885,1767
2024-12-11,898,847,1745
2024-12-12,828,811,1639
2024-12-13,885,875,1760
2024-12-14,878,817,1695
2024-12-15,836,835,1671
2024-12-16,890,891,1781
2024-12-17,846,858,1704
2024-12-18,829,852,1681
2024-12-19,897,805,1702
2024-12-20,897,899,1796
2024-12-21,864,841,1705
2024-12-22,892,813,1705
2024-12-23,894,885,1779
2024-12-24,841,837,1678
2024-12-25,878,863,1741
2024-12-26,867,875,1742
2024-12-27,894,878,1772
2024-12-28,829,829,1658
2024-12-29,852,840,1692
2024-12-30,882,886,1768
2024-12-31,861,870,1731
